2025-03-13 at 12:58:25 | INFO | Бот создан
2025-03-13 at 12:58:25 | INFO | Диспетчер создан
2025-03-13 at 12:58:31 | INFO | Бот ответил на команду /start
2025-03-13 at 12:58:33 | INFO | Бот ответил на команду /start
2025-03-13 at 12:58:34 | INFO | Бот объяснил, что делает
2025-03-13 at 12:58:36 | INFO | Бот вернул пользователю сообщение fdsf
2025-03-13 at 13:04:11 | INFO | Бот создан
2025-03-13 at 13:04:11 | INFO | Диспетчер создан
2025-03-13 at 13:04:16 | INFO | Бот ответил на команду /start
2025-03-13 at 13:04:21 | INFO | Бот объяснил, что делает
2025-03-13 at 13:26:14 | INFO | Бот создан
2025-03-13 at 13:26:14 | INFO | Диспетчер создан
2025-03-13 at 13:26:21 | INFO | Бот ответил на команду /start
2025-03-13 at 13:27:05 | INFO | Бот создан
2025-03-13 at 13:27:05 | INFO | Диспетчер создан
2025-03-13 at 13:27:14 | INFO | Бот вернул пользователю сообщение С пюрешкой
2025-03-13 at 13:27:17 | INFO | Бот вернул пользователю сообщение Без пюрешки
2025-03-13 at 13:29:06 | INFO | Бот создан
2025-03-13 at 13:29:06 | INFO | Диспетчер создан
2025-03-13 at 13:30:26 | INFO | Бот создан
2025-03-13 at 13:30:26 | INFO | Диспетчер создан
2025-03-13 at 13:30:45 | INFO | Бот создан
2025-03-13 at 13:30:45 | INFO | Диспетчер создан
2025-03-13 at 13:30:53 | INFO | Бот вернул пользователю сообщение С пюрешкой
